Name,ICAO,Latitude,Longtitude,Elevation
GOLDSTONE GTS,00CA,35.350525,-116.888367,3038
NORTHERN LITE,00WI,44.304283,-89.050111,860
LAVA HOT SPRINGS,01ID,42.60825,-112.032461,5268
COUNTRY BREEZE,01LS,30.722639,-91.077361,125
CRYSTAL LAKES RESORT,01MT,48.789131,-114.880436,3141
GRANVILLE,01NK,43.425,-73.261944,421
PREHN CRANBERRY COMPANY,01WI,44.01,-90.389167,930
THOMPSON INTL AVIATION,03AZ,31.433433,-110.083967,4275
KUGELSTRONG,03CO,40.2125,-104.744445,4950
GRAY BUTTE FLD,04CA,34.566622,-117.670383,3028
NICKS FLYING SVS,04MS,32.93957,-90.83732,100
KINGSTON RANCH ARPT,04NV,35.755531,-115.664728,2620
POPE VALLEY,05CL,38.610739,-122.391367,618
GRASS ROOTS,05LS,31.252222,-92.475833,83
OLJATO,05UT,37.033331,-110.317353,4838
WILLIAM P.GWINN,06FA,26.908153,-80.328414,28
NOAHS ARK,06MO,39.230556,-94.804406,755
WESTERN AIRPARK,06WN,46.924986,-122.553039,394
OCEAN REEF CLUB,07FA,25.325395,-80.274775,8
GLASGOW INDUSTRIAL,07MT,48.421106,-106.527703,2762
CUDDIHY FLD,07TE,27.721139,-97.51277,39
WILLIAMS FIELD,08MS,34.662222,-89.868334,345
B J MC COMBS SISTERDALE,08TE,29.976045,-98.743639,1447
ALTA SIERRA,09CL,39.113783,-121.056614,2275
PLACID LAKES,09FA,27.2456,-81.413128,130
PITCOCK ROSILLOS MOUNTAIN RAN,09TS,29.482417,-103.164892,3100
WESTERN SKY,0AZ2,33.778056,-113.641667,1930
BLECH RANCH,0CA9,35.594967,-120.338764,1140
BUCKHORN RANCH,0CO2,38.851936,-106.93282,8980
GEORGIA PACIFIC,0GE2,31.140556,-85.046669,133
MORRISON FLIGHT PARK,0IN6,39.022222,-87.1875,520
ARNEMANN FARMS,0KY1,36.765556,-86.618333,504
TOPTON AIR ESTATES,0MS0,32.475,-88.616667,453
FRAGER FLD,0NE6,40.433345,-98.0706,1765
FRY,0OH8,40.188381,-84.256056,900
MC KINLEY RANCH,0OK3,35.619492,-98.52257,1420
